Location,Date,Morning Forecast,Afternoon Forecast,Night Forecast,Summary Forecast,Summary When,Min Temperature (°C),Max Temperature (°C),Energy Output
Langkawi,2024-07-08,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,33,56.5
Langkawi,2024-07-07,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,33,56.5
Langkawi,2024-07-06,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,33,56.5
Langkawi,2024-07-05,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,33,56.5
Langkawi,2024-07-04,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Langkawi,2024-07-03,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Langkawi,2024-07-02,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
Perlis,2024-07-08,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,57.0
Perlis,2024-07-07,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,57.0
Perlis,2024-07-06,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,57.0
Perlis,2024-07-05,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,57.0
Perlis,2024-07-04,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,57.0
Perlis,2024-07-03,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,34,57.0
Perlis,2024-07-02,Hujan di beberapa tempat,Tiada hujan,Hujan di beberapa tempat,Hujan di beberapa tempat,Pagi dan Malam,26,34,57.0
Kubang Pasu,2024-07-08,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,57.0
Kubang Pasu,2024-07-07,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,57.0
Kubang Pasu,2024-07-06,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,57.0
Kubang Pasu,2024-07-05,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,57.0
Kubang Pasu,2024-07-04,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,57.0
Kubang Pasu,2024-07-03,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,34,57.0
Kubang Pasu,2024-07-02,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,26,34,57.0
Kota Setar,2024-07-08,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,57.0
Kota Setar,2024-07-07,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,57.0
Kota Setar,2024-07-06,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,57.0
Kota Setar,2024-07-05,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,57.0
Kota Setar,2024-07-04,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,34,57.0
Kota Setar,2024-07-03,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,34,57.0
Kota Setar,2024-07-02,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,34,57.0
Pokok Sena,2024-07-08,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Pokok Sena,2024-07-07,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Pokok Sena,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Pokok Sena,2024-07-05,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Pokok Sena,2024-07-04,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Pokok Sena,2024-07-03,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Pokok Sena,2024-07-02,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Padang Terap,2024-07-08,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Padang Terap,2024-07-07,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Padang Terap,2024-07-06,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Padang Terap,2024-07-05,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Padang Terap,2024-07-04,Tiada hujan,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Petang,26,34,37.0
Padang Terap,2024-07-03,Tiada hujan,Tiada hujan,Tiada hujan,Tiada hujan,Sepanjang Hari,26,34,37.0
Padang Terap,2024-07-02,Tiada hujan,Ribut petir di beberapa tempat,Hujan di beberapa tempat,Ribut petir di beberapa tempat,Petang,26,34,37.0
Yan,2024-07-08,Hujan di beberapa tempat,Tiada hujan,Tiada hujan,Hujan di beberapa tempat,Pagi,26,33,56.5
